submission_id,response1,context_picture,experiment_id,picture2,correct1,question1,problems,enjoyment,item,botresponse,correct2,understand,text,condition,sentence,age,response,comments,picture1,response3,education,languages,sex,RT,correct3,context,trial_number,startTime,attempts,picture,question3,fairprice,question2,size,response2,trial_name
344,dog,NA,10,warmup/doberman.png,chihuahua,This is a,No,1,dogs,margaret,doberman,yes,Please label the pictures below.,NA,NA,27,NA,NA,warmup/chihuahua.jpg,dogs,some_college,English,female,NA,dogs,NA,1,1566419319168,1,NA,This is a,1,These are both,NA,dog,warmup1
344,chihuahua,NA,10,warmup/doberman.png,chihuahua,This is a,No,1,dogs,margaret,doberman,yes,Please label the pictures below.,NA,NA,27,NA,NA,warmup/chihuahua.jpg,dogs,some_college,English,female,NA,dogs,NA,1,1566419319168,2,NA,This is a,1,These are both,NA,doberman,warmup1
344,carnation,NA,10,warmup/sunflower.png,dandelion,This is a,No,1,flowers,margaret,sunflower,yes,Please label the pictures below.,NA,NA,27,NA,NA,warmup/dandelion.jpg,flowers,some_college,English,female,NA,flowers,NA,2,1566419319168,1,NA,This is a,1,These are both,NA,sunflower,warmup1
344,dandelion,NA,10,warmup/sunflower.png,dandelion,This is a,No,1,flowers,margaret,sunflower,yes,Please label the pictures below.,NA,NA,27,NA,NA,warmup/dandelion.jpg,flowers,some_college,English,female,NA,flowers,NA,2,1566419319168,2,NA,This is a,1,These are both,NA,sunflower,warmup1
344,swan,NA,10,warmup/canary.jpg,swan,This is a,No,1,birds,margaret,canary,yes,Please label the pictures below.,NA,NA,27,NA,NA,warmup/swan.jpg,birds,some_college,English,female,NA,birds,NA,3,1566419319168,1,NA,This is a,1,These are both,NA,sparrow,warmup1
344,swan,NA,10,warmup/canary.jpg,swan,This is a,No,1,birds,margaret,canary,yes,Please label the pictures below.,NA,NA,27,NA,NA,warmup/swan.jpg,birds,some_college,English,female,NA,birds,NA,3,1566419319168,2,NA,This is a,1,These are both,NA,canary,warmup1
344,NA,images/bird-parade3.png,10,NA,NA,That's a big,No,1,birds,margaret,NA,yes,This one is also in the parade.,prenominal,You say to your friend:,27,swan,NA,NA,NA,some_college,English,female,NA,NA,You see a parade of animals.,1,1566419319168,NA,images/swan.png,NA,1,NA,big,NA,main1
344,NA,images/dog-parade.png,10,NA,NA,That's a small,No,1,dogs,margaret,NA,yes,This one is also in the parade.,prenominal,You say to your friend:,27,chihuahua,NA,NA,NA,some_college,English,female,NA,NA,You see a parade of animals.,2,1566419319168,NA,images/chihuahua.png,NA,1,NA,small,NA,main1
344,NA,images/flower-parade2.png,10,NA,NA,That's a big,No,1,flowers,margaret,NA,yes,This one is also in the collection.,prenominal,You say to your friend:,27,sunflower,NA,NA,NA,some_college,English,female,NA,NA,You see a collection of plants.,3,1566419319168,NA,images/sunflower.png,NA,1,NA,big,NA,main1
344,goose,NA,10,warmup/sparrow.jpg,goose,This is a,No,1,birds,margaret,sparrow,yes,Please label the pictures below.,NA,NA,27,NA,NA,warmup/goose.png,birds,some_college,English,female,NA,birds,NA,1,1566419319168,1,NA,This is a,1,These are both,NA,robin,warmup2
344,goose,NA,10,warmup/sparrow.jpg,goose,This is a,No,1,birds,margaret,sparrow,yes,Please label the pictures below.,NA,NA,27,NA,NA,warmup/goose.png,birds,some_college,English,female,NA,birds,NA,1,1566419319168,2,NA,This is a,1,These are both,NA,sparrow,warmup2
344,bass,NA,10,warmup/clownfish.jpg,tuna,This is a,No,1,fish,margaret,clownfish,yes,Please label the pictures below.,NA,NA,27,NA,NA,warmup/tuna.jpg,fish,some_college,English,female,NA,fish,NA,2,1566419319168,1,NA,This is a,1,These are both,NA,clown fish,warmup2
344,tuna,NA,10,warmup/clownfish.jpg,tuna,This is a,No,1,fish,margaret,clownfish,yes,Please label the pictures below.,NA,NA,27,NA,NA,warmup/tuna.jpg,fish,some_college,English,female,NA,fish,NA,2,1566419319168,2,NA,This is a,1,These are both,NA,clownfish,warmup2
344,swordfish,NA,10,warmup/goldfish.png,swordfish,This is a,No,1,fish,margaret,goldfish,yes,Please label the pictures below.,NA,NA,27,NA,NA,warmup/swordfish.jpg,fish,some_college,English,female,NA,fish,NA,3,1566419319168,1,NA,This is a,1,These are both,NA,fishy,warmup2
