submission_id,response1,startDate,context_picture,experiment_id,picture2,correct1,question1,problems,enjoyment,hit_id,item,botresponse,assignment_id,correct2,understand,text,condition,sentence,age,response,comments,picture1,response3,education,worker_id,languages,sex,RT,correct3,context,trial_number,startTime,attempts,picture,question3,fairprice,question2,size,response2,trial_name
433,swan,Mon Aug 26 2019 11:25:49 GMT-0400 (Eastern Daylight Time),NA,10,warmup/canary.jpg,swan,This is a ,,,3CMV9YRYP3PHLWISYH4WY62P8P2LJK,birds,patricia,3C2NJ6JBKB5AQKLYTBJL01GL0BE2NP,canary,yes,Please label the pictures below.,NA,NA,28,NA,,warmup/swan.jpg,birds,,A33T45FNLQC14X,,,NA,birds,NA,1,1566833149190,1,NA,This is a ,,These are both,NA,hummingbird,warmup1
433,swan,Mon Aug 26 2019 11:25:49 GMT-0400 (Eastern Daylight Time),NA,10,warmup/canary.jpg,swan,This is a ,,,3CMV9YRYP3PHLWISYH4WY62P8P2LJK,birds,patricia,3C2NJ6JBKB5AQKLYTBJL01GL0BE2NP,canary,yes,Please label the pictures below.,NA,NA,28,NA,,warmup/swan.jpg,birds,,A33T45FNLQC14X,,,NA,birds,NA,1,1566833149190,2,NA,This is a ,,These are both,NA,canary,warmup1
433,swordfish,Mon Aug 26 2019 11:25:49 GMT-0400 (Eastern Daylight Time),NA,10,warmup/goldfish.png,swordfish,This is a ,,,3CMV9YRYP3PHLWISYH4WY62P8P2LJK,fish,patricia,3C2NJ6JBKB5AQKLYTBJL01GL0BE2NP,goldfish,yes,Please label the pictures below.,NA,NA,28,NA,,warmup/swordfish.jpg,fish,,A33T45FNLQC14X,,,NA,fish,NA,2,1566833149190,1,NA,This is a ,,These are both,NA,redfush,warmup1
433,swordfish,Mon Aug 26 2019 11:25:49 GMT-0400 (Eastern Daylight Time),NA,10,warmup/goldfish.png,swordfish,This is a ,,,3CMV9YRYP3PHLWISYH4WY62P8P2LJK,fish,patricia,3C2NJ6JBKB5AQKLYTBJL01GL0BE2NP,goldfish,yes,Please label the pictures below.,NA,NA,28,NA,,warmup/swordfish.jpg,fish,,A33T45FNLQC14X,,,NA,fish,NA,2,1566833149190,2,NA,This is a ,,These are both,NA,goldfish,warmup1
433,dog,Mon Aug 26 2019 11:25:49 GMT-0400 (Eastern Daylight Time),NA,10,warmup/doberman.png,chihuahua,This is a ,,,3CMV9YRYP3PHLWISYH4WY62P8P2LJK,dogs,patricia,3C2NJ6JBKB5AQKLYTBJL01GL0BE2NP,doberman,yes,Please label the pictures below.,NA,NA,28,NA,,warmup/chihuahua.jpg,dogs,,A33T45FNLQC14X,,,NA,dogs,NA,3,1566833149190,1,NA,This is a ,,These are both,NA,dogs,warmup1
433,chihuahua,Mon Aug 26 2019 11:25:49 GMT-0400 (Eastern Daylight Time),NA,10,warmup/doberman.png,chihuahua,This is a ,,,3CMV9YRYP3PHLWISYH4WY62P8P2LJK,dogs,patricia,3C2NJ6JBKB5AQKLYTBJL01GL0BE2NP,doberman,yes,Please label the pictures below.,NA,NA,28,NA,,warmup/chihuahua.jpg,dogs,,A33T45FNLQC14X,,,NA,dogs,NA,3,1566833149190,2,NA,This is a ,,These are both,NA,doberman,warmup1
433,NA,Mon Aug 26 2019 11:25:49 GMT-0400 (Eastern Daylight Time),images/dog-parade.png,10,NA,NA,That's a big ,,,3CMV9YRYP3PHLWISYH4WY62P8P2LJK,dogs,patricia,3C2NJ6JBKB5AQKLYTBJL01GL0BE2NP,NA,yes,This one is also in the parade.,prenominal,You say to your friend:,28,doberman,,NA,NA,,A33T45FNLQC14X,,,,NA,You see a parade of animals.,1,1566833149190,NA,images/doberman.png,NA,,,big,NA,main1
433,NA,Mon Aug 26 2019 11:25:49 GMT-0400 (Eastern Daylight Time),images/bird-parade3.png,10,NA,NA,That's a small ,,,3CMV9YRYP3PHLWISYH4WY62P8P2LJK,birds,patricia,3C2NJ6JBKB5AQKLYTBJL01GL0BE2NP,NA,yes,This one is also in the parade.,prenominal,You say to your friend:,28,canary,,NA,NA,,A33T45FNLQC14X,,,,NA,You see a parade of animals.,2,1566833149190,NA,images/canary.png,NA,,,small,NA,main1
433,NA,Mon Aug 26 2019 11:25:49 GMT-0400 (Eastern Daylight Time),images/fish-parade.png,10,NA,NA,That's a small ,,,3CMV9YRYP3PHLWISYH4WY62P8P2LJK,fish,patricia,3C2NJ6JBKB5AQKLYTBJL01GL0BE2NP,NA,yes,This one is also in the parade.,prenominal,You say to your friend:,28,goldfish,,NA,NA,,A33T45FNLQC14X,,,,NA,You see a parade of animals.,3,1566833149190,NA,images/goldfish.png,NA,,,small,NA,main1
433,daisy,Mon Aug 26 2019 11:25:49 GMT-0400 (Eastern Daylight Time),NA,10,warmup/peony.png,daisy,This is a ,,,3CMV9YRYP3PHLWISYH4WY62P8P2LJK,flowers,patricia,3C2NJ6JBKB5AQKLYTBJL01GL0BE2NP,peony,yes,Please label the pictures below.,NA,NA,28,NA,,warmup/daisy.png,flowers,,A33T45FNLQC14X,,,NA,flowers,NA,1,1566833149190,1,NA,This is a ,,These are both,NA,rose,warmup2
433,daisy,Mon Aug 26 2019 11:25:49 GMT-0400 (Eastern Daylight Time),NA,10,warmup/peony.png,daisy,This is a ,,,3CMV9YRYP3PHLWISYH4WY62P8P2LJK,flowers,patricia,3C2NJ6JBKB5AQKLYTBJL01GL0BE2NP,peony,yes,Please label the pictures below.,NA,NA,28,NA,,warmup/daisy.png,flowers,,A33T45FNLQC14X,,,NA,flowers,NA,1,1566833149190,2,NA,This is a ,,These are both,NA,peony,warmup2
433,redwood,Mon Aug 26 2019 11:25:49 GMT-0400 (Eastern Daylight Time),NA,10,warmup/bonsai.jpg,redwood|sequoia,This is a ,,,3CMV9YRYP3PHLWISYH4WY62P8P2LJK,trees,patricia,3C2NJ6JBKB5AQKLYTBJL01GL0BE2NP,bonsai,yes,Please label the pictures below.,NA,NA,28,NA,,warmup/sequoia.jpg,trees,,A33T45FNLQC14X,,,NA,trees,NA,2,1566833149190,1,NA,This is a ,,These are both,NA,bonsai,warmup2
433,daisy,Mon Aug 26 2019 11:25:49 GMT-0400 (Eastern Daylight Time),NA,10,warmup/sunflower.png,dandelion,This is a ,,,3CMV9YRYP3PHLWISYH4WY62P8P2LJK,flowers,patricia,3C2NJ6JBKB5AQKLYTBJL01GL0BE2NP,sunflower,yes,Please label the pictures below.,NA,NA,28,NA,,warmup/dandelion.jpg,flowers,,A33T45FNLQC14X,,,NA,flowers,NA,3,1566833149190,1,NA,This is a ,,These are both,NA,sunflower,warmup2
433,dandelion,Mon Aug 26 2019 11:25:49 GMT-0400 (Eastern Daylight Time),NA,10,warmup/sunflower.png,dandelion,This is a ,,,3CMV9YRYP3PHLWISYH4WY62P8P2LJK,flowers,patricia,3C2NJ6JBKB5AQKLYTBJL01GL0BE2NP,sunflower,yes,Please label the pictures below.,NA,NA,28,NA,,warmup/dandelion.jpg,flowers,,A33T45FNLQC14X,,,NA,flowers,NA,3,1566833149190,2,NA,This is a ,,These are both,NA,SUNFLOWER,warmup2
433,NA,Mon Aug 26 2019 11:25:49 GMT-0400 (Eastern Daylight Time),images/tree-parade.png,10,NA,NA,That's a big ,,,3CMV9YRYP3PHLWISYH4WY62P8P2LJK,trees,patricia,3C2NJ6JBKB5AQKLYTBJL01GL0BE2NP,NA,yes,This one is also in the landscape.,prenominal,You say to your friend:,28,redwood,,NA,NA,,A33T45FNLQC14X,,,,NA,You see the following items in a landscape.,1,1566833149190,NA,images/sequoia.png,NA,,,big,NA,main2
433,NA,Mon Aug 26 2019 11:25:49 GMT-0400 (Eastern Daylight Time),images/flower-parade.png,10,NA,NA,That's a big ,,,3CMV9YRYP3PHLWISYH4WY62P8P2LJK,flowers,patricia,3C2NJ6JBKB5AQKLYTBJL01GL0BE2NP,NA,yes,This one is also in the collection.,prenominal,You say to your friend:,28,dandelion,,NA,NA,,A33T45FNLQC14X,,,,NA,You see a collection of plants.,2,1566833149190,NA,images/peony.png,NA,,,big,NA,main2
433,NA,Mon Aug 26 2019 11:25:49 GMT-0400 (Eastern Daylight Time),images/flower-parade2.png,10,NA,NA,That's a small ,,,3CMV9YRYP3PHLWISYH4WY62P8P2LJK,flowers,patricia,3C2NJ6JBKB5AQKLYTBJL01GL0BE2NP,NA,yes,This one is also in the collection.,prenominal,You say to your friend:,28,daisy,,NA,NA,,A33T45FNLQC14X,,,,NA,You see a collection of plants.,3,1566833149190,NA,images/dandelion.png,NA,,,small,NA,main2
432,hummingbird,Mon Aug 26 2019 11:16:50 GMT-0400 (Eastern Daylight Time),NA,10,warmup/eagle.jpg,hummingbird,This is a ,I had no problems,2,3DW3BNF1GH6VXKY3LH9BWPRDJCA8V6,birds,sarah,3WETL7AQWUWVLDBBTB14PULRF49538,eagle,yes,Please label the pictures below.,NA,NA,37,NA,"I have none, thanks!",warmup/colibri.jpg,birds,graduated_college,A1NR3COO33J99C,english,male,NA,birds,NA,1,1566832610147,1,NA,This is an ,1.00,These are both,NA,eagle,warmup1
432,tuna,Mon Aug 26 2019 11:16:50 GMT-0400 (Eastern Daylight Time),NA,10,warmup/clownfish.jpg,tuna,This is a ,I had no problems,2,3DW3BNF1GH6VXKY3LH9BWPRDJCA8V6,fish,sarah,3WETL7AQWUWVLDBBTB14PULRF49538,clownfish,yes,Please label the pictures below.,NA,NA,37,NA,"I have none, thanks!",warmup/tuna.jpg,fish,graduated_college,A1NR3COO33J99C,english,male,NA,fish,NA,2,1566832610147,1,NA,This is a ,1.00,These are both,NA,nemo,warmup1
432,tuna,Mon Aug 26 2019 11:16:50 GMT-0400 (Eastern Daylight Time),NA,10,warmup/clownfish.jpg,tuna,This is a ,I had no problems,2,3DW3BNF1GH6VXKY3LH9BWPRDJCA8V6,fish,sarah,3WETL7AQWUWVLDBBTB14PULRF49538,clownfish,yes,Please label the pictures below.,NA,NA,37,NA,"I have none, thanks!",warmup/tuna.jpg,fish,graduated_college,A1NR3COO33J99C,english,male,NA,fish,NA,2,1566832610147,2,NA,This is a ,1.00,These are both,NA,clownfish,warmup1
432,swordfish,Mon Aug 26 2019 11:16:50 GMT-0400 (Eastern Daylight Time),NA,10,warmup/goldfish.png,swordfish,This is a ,I had no problems,2,3DW3BNF1GH6VXKY3LH9BWPRDJCA8V6,fish,sarah,3WETL7AQWUWVLDBBTB14PULRF49538,goldfish,yes,Please label the pictures below.,NA,NA,37,NA,"I have none, thanks!",warmup/swordfish.jpg,fish,graduated_college,A1NR3COO33J99C,english,male,NA,fish,NA,3,1566832610147,1,NA,This is a ,1.00,These are both,NA,goldfish,warmup1
432,NA,Mon Aug 26 2019 11:16:50 GMT-0400 (Eastern Daylight Time),images/fish-parade2.png,10,NA,NA,That's a small ,I had no problems,2,3DW3BNF1GH6VXKY3LH9BWPRDJCA8V6,fish,sarah,3WETL7AQWUWVLDBBTB14PULRF49538,NA,yes,This one is also in the parade.,prenominal,You say to your friend:,37,clownfish,"I have none, thanks!",NA,NA,graduated_college,A1NR3COO33J99C,english,male,,NA,You see a parade of animals.,1,1566832610147,NA,images/clownfish.png,NA,1.00,,small,NA,main1
432,NA,Mon Aug 26 2019 11:16:50 GMT-0400 (Eastern Daylight Time),images/bird-parade2.png,10,NA,NA,That's a big ,I had no problems,2,3DW3BNF1GH6VXKY3LH9BWPRDJCA8V6,birds,sarah,3WETL7AQWUWVLDBBTB14PULRF49538,NA,yes,This one is also in the parade.,prenominal,You say to your friend:,37,eagle,"I have none, thanks!",NA,NA,graduated_college,A1NR3COO33J99C,english,male,,NA,You see a parade of animals.,2,1566832610147,NA,images/eagle.png,NA,1.00,,big,NA,main1
432,NA,Mon Aug 26 2019 11:16:50 GMT-0400 (Eastern Daylight Time),images/fish-parade.png,10,NA,NA,That's a small ,I had no problems,2,3DW3BNF1GH6VXKY3LH9BWPRDJCA8V6,fish,sarah,3WETL7AQWUWVLDBBTB14PULRF49538,NA,yes,This one is also in the parade.,prenominal,You say to your friend:,37,goldfish,"I have none, thanks!",NA,NA,graduated_college,A1NR3COO33J99C,english,male,,NA,You see a parade of animals.,3,1566832610147,NA,images/goldfish.png,NA,1.00,,small,NA,main1
432,dog,Mon Aug 26 2019 11:16:50 GMT-0400 (Eastern Daylight Time),NA,10,warmup/great-dane.jpg,pug,This is a ,I had no problems,2,3DW3BNF1GH6VXKY3LH9BWPRDJCA8V6,dogs,sarah,3WETL7AQWUWVLDBBTB14PULRF49538,great dane,yes,Please label the pictures below.,NA,NA,37,NA,"I have none, thanks!",warmup/pug.jpg,dogs,graduated_college,A1NR3COO33J99C,english,male,NA,dogs,NA,1,1566832610147,1,NA,This is a ,1.00,These are both,NA,great dane,warmup2
432,pug,Mon Aug 26 2019 11:16:50 GMT-0400 (Eastern Daylight Time),NA,10,warmup/great-dane.jpg,pug,This is a ,I had no problems,2,3DW3BNF1GH6VXKY3LH9BWPRDJCA8V6,dogs,sarah,3WETL7AQWUWVLDBBTB14PULRF49538,great dane,yes,Please label the pictures below.,NA,NA,37,NA,"I have none, thanks!",warmup/pug.jpg,dogs,graduated_college,A1NR3COO33J99C,english,male,NA,dogs,NA,1,1566832610147,2,NA,This is a ,1.00,These are both,NA,great dane,warmup2
432,swan,Mon Aug 26 2019 11:16:50 GMT-0400 (Eastern Daylight Time),NA,10,warmup/canary.jpg,swan,This is a ,I had no problems,2,3DW3BNF1GH6VXKY3LH9BWPRDJCA8V6,birds,sarah,3WETL7AQWUWVLDBBTB14PULRF49538,canary,yes,Please label the pictures below.,NA,NA,37,NA,"I have none, thanks!",warmup/swan.jpg,birds,graduated_college,A1NR3COO33J99C,english,male,NA,birds,NA,2,1566832610147,1,NA,This is a ,1.00,These are both,NA,wren,warmup2
432,swan,Mon Aug 26 2019 11:16:50 GMT-0400 (Eastern Daylight Time),NA,10,warmup/canary.jpg,swan,This is a ,I had no problems,2,3DW3BNF1GH6VXKY3LH9BWPRDJCA8V6,birds,sarah,3WETL7AQWUWVLDBBTB14PULRF49538,canary,yes,Please label the pictures below.,NA,NA,37,NA,"I have none, thanks!",warmup/swan.jpg,birds,graduated_college,A1NR3COO33J99C,english,male,NA,birds,NA,2,1566832610147,2,NA,This is a ,1.00,These are both,NA,canary,warmup2
432,daisy,Mon Aug 26 2019 11:16:50 GMT-0400 (Eastern Daylight Time),NA,10,warmup/sunflower.png,dandelion,This is a ,I had no problems,2,3DW3BNF1GH6VXKY3LH9BWPRDJCA8V6,flowers,sarah,3WETL7AQWUWVLDBBTB14PULRF49538,sunflower,yes,Please label the pictures below.,NA,NA,37,NA,"I have none, thanks!",warmup/dandelion.jpg,flower,graduated_college,A1NR3COO33J99C,english,male,NA,flowers,NA,3,1566832610147,1,NA,This is a ,1.00,These are both,NA,sunflower,warmup2
432,dandelion,Mon Aug 26 2019 11:16:50 GMT-0400 (Eastern Daylight Time),NA,10,warmup/sunflower.png,dandelion,This is a ,I had no problems,2,3DW3BNF1GH6VXKY3LH9BWPRDJCA8V6,flowers,sarah,3WETL7AQWUWVLDBBTB14PULRF49538,sunflower,yes,Please label the pictures below.,NA,NA,37,NA,"I have none, thanks!",warmup/dandelion.jpg,flowers,graduated_college,A1NR3COO33J99C,english,male,NA,flowers,NA,3,1566832610147,2,NA,This is a ,1.00,These are both,NA,sunflower,warmup2
432,NA,Mon Aug 26 2019 11:16:50 GMT-0400 (Eastern Daylight Time),images/flower-parade2.png,10,NA,NA,That's a big ,I had no problems,2,3DW3BNF1GH6VXKY3LH9BWPRDJCA8V6,flowers,sarah,3WETL7AQWUWVLDBBTB14PULRF49538,NA,yes,This one is also in the collection.,prenominal,You say to your friend:,37,sunflower,"I have none, thanks!",NA,NA,graduated_college,A1NR3COO33J99C,english,male,,NA,You see a collection of plants.,1,1566832610147,NA,images/sunflower.png,NA,1.00,,big,NA,main2
432,NA,Mon Aug 26 2019 11:16:50 GMT-0400 (Eastern Daylight Time),images/bird-parade3.png,10,NA,NA,That's a small ,I had no problems,2,3DW3BNF1GH6VXKY3LH9BWPRDJCA8V6,birds,sarah,3WETL7AQWUWVLDBBTB14PULRF49538,NA,yes,This one is also in the parade.,prenominal,You say to your friend:,37,canary,"I have none, thanks!",NA,NA,graduated_college,A1NR3COO33J99C,english,male,,NA,You see a parade of animals.,2,1566832610147,NA,images/canary.png,NA,1.00,,small,NA,main2
432,NA,Mon Aug 26 2019 11:16:50 GMT-0400 (Eastern Daylight Time),images/dog-parade2.png,10,NA,NA,That's a big ,I had no problems,2,3DW3BNF1GH6VXKY3LH9BWPRDJCA8V6,dogs,sarah,3WETL7AQWUWVLDBBTB14PULRF49538,NA,yes,This one is also in the parade.,prenominal,You say to your friend:,37,great dane,"I have none, thanks!",NA,NA,graduated_college,A1NR3COO33J99C,english,male,,NA,You see a parade of animals.,3,1566832610147,NA,images/great-dane.png,NA,1.00,,big,NA,main2
431,kingfish,Mon Aug 26 2019 11:20:53 GMT-0400 (Eastern Daylight Time),NA,10,warmup/goldfish.png,swordfish,This is a ,no problems,2,3TKXBROM5TYFVVAMDE7J6QAXRL8JI4,fish,sarah,3V26SBZTBE2UDK2TL63TIZX1VYKZZA,goldfish,yes,Please label the pictures below.,NA,NA,67,NA,,warmup/swordfish.jpg,fish,some_college,AOOLS8280CL0Z,english,female,NA,fish,NA,1,1566832853898,1,NA,This is a ,1.00,These are both,NA,goldfish,warmup1
431,swordfish,Mon Aug 26 2019 11:20:53 GMT-0400 (Eastern Daylight Time),NA,10,warmup/goldfish.png,swordfish,This is a ,no problems,2,3TKXBROM5TYFVVAMDE7J6QAXRL8JI4,fish,sarah,3V26SBZTBE2UDK2TL63TIZX1VYKZZA,goldfish,yes,Please label the pictures below.,NA,NA,67,NA,,warmup/swordfish.jpg,fish,some_college,AOOLS8280CL0Z,english,female,NA,fish,NA,1,1566832853898,2,NA,This is a ,1.00,These are both,NA,goldfish,warmup1
