submission_id,response1,startDate,context_picture,experiment_id,picture2,correct1,question1,problems,enjoyment,hit_id,assignment_id,correct2,understand,text,sentence,age,response,comments,picture1,response3,education,worker_id,languages,sex,RT,correct3,context,trial_number,startTime,picture,fairprice,question2,response2,trial_name
60,monkey,Thu Jul 25 2019 14:31:15 GMT-0700 (Pacific Daylight Time),NA,4,images/gorilla.jpg,spider monkey,This is a ,No,1,3OYHVNTV5TMK21R7TUK0R26WHDAOKT,3ZV9H2YQQEVPYWQVPCODFUY4TUWW3F,gorilla,yes,Please label the pictures below.,NA,41,NA,"There are a few issues with this experiment. First, often times I would come up with a label, only to discover that you have a very narrow definition of what that label should be. For the general 'monkey' label, I put 'primates', which should have been an acceptable response, but it wasn't, based on your narrow definitions. I changed the label to what you wanted, but it made me wonder what you could possibly be testing. Also, I feel that some of the images stretch what would be commonly known - is anyone really supposed to know that one of your dog images was a Great Dane? Or that the tree was a Sequoia, not an Oak? Perhaps it would help if the images were photos instead of illustrations, but probably not.",images/spidermonkey.jpg,primates,higher_degree,ANNVWKERLZG9A,English,male,NA,monkeys|apes,NA,1,1564090275591,NA,1.50,These are both,gorilla,warmup
60,monkey,Thu Jul 25 2019 14:31:15 GMT-0700 (Pacific Daylight Time),NA,4,images/gorilla.jpg,spider monkey,This is a ,No,1,3OYHVNTV5TMK21R7TUK0R26WHDAOKT,3ZV9H2YQQEVPYWQVPCODFUY4TUWW3F,gorilla,yes,Please label the pictures below.,NA,41,NA,"There are a few issues with this experiment. First, often times I would come up with a label, only to discover that you have a very narrow definition of what that label should be. For the general 'monkey' label, I put 'primates', which should have been an acceptable response, but it wasn't, based on your narrow definitions. I changed the label to what you wanted, but it made me wonder what you could possibly be testing. Also, I feel that some of the images stretch what would be commonly known - is anyone really supposed to know that one of your dog images was a Great Dane? Or that the tree was a Sequoia, not an Oak? Perhaps it would help if the images were photos instead of illustrations, but probably not.",images/spidermonkey.jpg,apes,higher_degree,ANNVWKERLZG9A,English,male,NA,monkeys|apes,NA,1,1564090275591,NA,1.50,These are both,ape,warmup
60,monkey,Thu Jul 25 2019 14:31:15 GMT-0700 (Pacific Daylight Time),NA,4,images/gorilla.jpg,spider monkey,This is a ,No,1,3OYHVNTV5TMK21R7TUK0R26WHDAOKT,3ZV9H2YQQEVPYWQVPCODFUY4TUWW3F,gorilla,yes,Please label the pictures below.,NA,41,NA,"There are a few issues with this experiment. First, often times I would come up with a label, only to discover that you have a very narrow definition of what that label should be. For the general 'monkey' label, I put 'primates', which should have been an acceptable response, but it wasn't, based on your narrow definitions. I changed the label to what you wanted, but it made me wonder what you could possibly be testing. Also, I feel that some of the images stretch what would be commonly known - is anyone really supposed to know that one of your dog images was a Great Dane? Or that the tree was a Sequoia, not an Oak? Perhaps it would help if the images were photos instead of illustrations, but probably not.",images/spidermonkey.jpg,apes,higher_degree,ANNVWKERLZG9A,English,male,NA,monkeys|apes,NA,1,1564090275591,NA,1.50,These are both,gorilla,warmup
60,monkey,Thu Jul 25 2019 14:31:15 GMT-0700 (Pacific Daylight Time),NA,4,images/gorilla.jpg,spider monkey,This is a ,No,1,3OYHVNTV5TMK21R7TUK0R26WHDAOKT,3ZV9H2YQQEVPYWQVPCODFUY4TUWW3F,gorilla,yes,Please label the pictures below.,NA,41,NA,"There are a few issues with this experiment. First, often times I would come up with a label, only to discover that you have a very narrow definition of what that label should be. For the general 'monkey' label, I put 'primates', which should have been an acceptable response, but it wasn't, based on your narrow definitions. I changed the label to what you wanted, but it made me wonder what you could possibly be testing. Also, I feel that some of the images stretch what would be commonly known - is anyone really supposed to know that one of your dog images was a Great Dane? Or that the tree was a Sequoia, not an Oak? Perhaps it would help if the images were photos instead of illustrations, but probably not.",images/spidermonkey.jpg,apes,higher_degree,ANNVWKERLZG9A,English,male,NA,monkeys|apes,NA,1,1564090275591,NA,1.50,These are both,gorilla,warmup
60,monkey,Thu Jul 25 2019 14:31:15 GMT-0700 (Pacific Daylight Time),NA,4,images/gorilla.jpg,spider monkey,This is a ,No,1,3OYHVNTV5TMK21R7TUK0R26WHDAOKT,3ZV9H2YQQEVPYWQVPCODFUY4TUWW3F,gorilla,yes,Please label the pictures below.,NA,41,NA,"There are a few issues with this experiment. First, often times I would come up with a label, only to discover that you have a very narrow definition of what that label should be. For the general 'monkey' label, I put 'primates', which should have been an acceptable response, but it wasn't, based on your narrow definitions. I changed the label to what you wanted, but it made me wonder what you could possibly be testing. Also, I feel that some of the images stretch what would be commonly known - is anyone really supposed to know that one of your dog images was a Great Dane? Or that the tree was a Sequoia, not an Oak? Perhaps it would help if the images were photos instead of illustrations, but probably not.",images/spidermonkey.jpg,apes,higher_degree,ANNVWKERLZG9A,English,male,NA,monkeys|apes,NA,1,1564090275591,NA,1.50,These are both,gorilla,warmup
60,monkey,Thu Jul 25 2019 14:31:15 GMT-0700 (Pacific Daylight Time),NA,4,images/gorilla.jpg,spider monkey,This is a ,No,1,3OYHVNTV5TMK21R7TUK0R26WHDAOKT,3ZV9H2YQQEVPYWQVPCODFUY4TUWW3F,gorilla,yes,Please label the pictures below.,NA,41,NA,"There are a few issues with this experiment. First, often times I would come up with a label, only to discover that you have a very narrow definition of what that label should be. For the general 'monkey' label, I put 'primates', which should have been an acceptable response, but it wasn't, based on your narrow definitions. I changed the label to what you wanted, but it made me wonder what you could possibly be testing. Also, I feel that some of the images stretch what would be commonly known - is anyone really supposed to know that one of your dog images was a Great Dane? Or that the tree was a Sequoia, not an Oak? Perhaps it would help if the images were photos instead of illustrations, but probably not.",images/spidermonkey.jpg,primates,higher_degree,ANNVWKERLZG9A,English,male,NA,monkeys|apes,NA,1,1564090275591,NA,1.50,These are both,gorilla,warmup
60,monkey,Thu Jul 25 2019 14:31:15 GMT-0700 (Pacific Daylight Time),NA,4,images/gorilla.jpg,spider monkey,This is a ,No,1,3OYHVNTV5TMK21R7TUK0R26WHDAOKT,3ZV9H2YQQEVPYWQVPCODFUY4TUWW3F,gorilla,yes,Please label the pictures below.,NA,41,NA,"There are a few issues with this experiment. First, often times I would come up with a label, only to discover that you have a very narrow definition of what that label should be. For the general 'monkey' label, I put 'primates', which should have been an acceptable response, but it wasn't, based on your narrow definitions. I changed the label to what you wanted, but it made me wonder what you could possibly be testing. Also, I feel that some of the images stretch what would be commonly known - is anyone really supposed to know that one of your dog images was a Great Dane? Or that the tree was a Sequoia, not an Oak? Perhaps it would help if the images were photos instead of illustrations, but probably not.",images/spidermonkey.jpg,monkeys,higher_degree,ANNVWKERLZG9A,English,male,NA,monkeys|apes,NA,1,1564090275591,NA,1.50,These are both,gorilla,warmup
60,monkey,Thu Jul 25 2019 14:31:15 GMT-0700 (Pacific Daylight Time),NA,4,images/gorilla.jpg,spider monkey,This is a ,No,1,3OYHVNTV5TMK21R7TUK0R26WHDAOKT,3ZV9H2YQQEVPYWQVPCODFUY4TUWW3F,gorilla,yes,Please label the pictures below.,NA,41,NA,"There are a few issues with this experiment. First, often times I would come up with a label, only to discover that you have a very narrow definition of what that label should be. For the general 'monkey' label, I put 'primates', which should have been an acceptable response, but it wasn't, based on your narrow definitions. I changed the label to what you wanted, but it made me wonder what you could possibly be testing. Also, I feel that some of the images stretch what would be commonly known - is anyone really supposed to know that one of your dog images was a Great Dane? Or that the tree was a Sequoia, not an Oak? Perhaps it would help if the images were photos instead of illustrations, but probably not.",images/spidermonkey.jpg,monkeys,higher_degree,ANNVWKERLZG9A,English,male,NA,monkeys|apes,NA,1,1564090275591,NA,1.50,These are both,gorilla,warmup
60,spider monkey,Thu Jul 25 2019 14:31:15 GMT-0700 (Pacific Daylight Time),NA,4,images/gorilla.jpg,spider monkey,This is a ,No,1,3OYHVNTV5TMK21R7TUK0R26WHDAOKT,3ZV9H2YQQEVPYWQVPCODFUY4TUWW3F,gorilla,yes,Please label the pictures below.,NA,41,NA,"There are a few issues with this experiment. First, often times I would come up with a label, only to discover that you have a very narrow definition of what that label should be. For the general 'monkey' label, I put 'primates', which should have been an acceptable response, but it wasn't, based on your narrow definitions. I changed the label to what you wanted, but it made me wonder what you could possibly be testing. Also, I feel that some of the images stretch what would be commonly known - is anyone really supposed to know that one of your dog images was a Great Dane? Or that the tree was a Sequoia, not an Oak? Perhaps it would help if the images were photos instead of illustrations, but probably not.",images/spidermonkey.jpg,monkeys,higher_degree,ANNVWKERLZG9A,English,male,NA,monkeys|apes,NA,1,1564090275591,NA,1.50,These are both,gorilla,warmup
60,dandelion,Thu Jul 25 2019 14:31:15 GMT-0700 (Pacific Daylight Time),NA,4,images/sunflower.png,daisy,This is a ,No,1,3OYHVNTV5TMK21R7TUK0R26WHDAOKT,3ZV9H2YQQEVPYWQVPCODFUY4TUWW3F,sunflower,yes,Please label the pictures below.,NA,41,NA,"There are a few issues with this experiment. First, often times I would come up with a label, only to discover that you have a very narrow definition of what that label should be. For the general 'monkey' label, I put 'primates', which should have been an acceptable response, but it wasn't, based on your narrow definitions. I changed the label to what you wanted, but it made me wonder what you could possibly be testing. Also, I feel that some of the images stretch what would be commonly known - is anyone really supposed to know that one of your dog images was a Great Dane? Or that the tree was a Sequoia, not an Oak? Perhaps it would help if the images were photos instead of illustrations, but probably not.",images/daisy.png,flowers,higher_degree,ANNVWKERLZG9A,English,male,NA,flowers,NA,2,1564090275591,NA,1.50,These are both,sunflower,warmup
